userName,content,score
Ratna Purnama sari,Sudah 2bulan ini sering ngelag. Mau login juga susah banget,1
Ecko Kia,Mantab,5
dwi mulen,"ini gimana ya baru download kok gak bisa di buka ya aplikasi nya,,,, sudah saya cobak berkali2,, tetap gak bisa, ada tulisan MAAF PERANGKAT ANDA BELUM DAPAT DI GUNAKAN UNTUK MENGAKSES OCTO,,,,🤦🤦😭😭",1
risky muhamad,"Mudah , canggih",5
Alfyana Vildiz,Memudahkan utk bertransaksi dan sangat cepat,5
whyyou Dien-wn,Gampang penggunaanya,5
Susanti Mega,Mantap,5
Sigit Maryanto,Aplikasi sering eror,1
Tubagus Ernanda,"Hallo Octo, kenapa baru sekarang Octo mobile saya tidak bisa dibuka?jika applikasi Octo mobile ada kendala untuk segera ditangani demi pelayanan kepada nasabah.terima kasih",3
endra Wahyudi,"Aplikasi lemot buatnya susah, bank-nya banyak terror nawarin asuransi, pinjaman, dll mengatasnamakan CMB mohon di tingkatkan lagi privasi",1
Yovi Armanda,"Ini mau buka aplikasi aja berat banget, padahal mau bayar tagihan, update baru kok semakin di perlambat saja heran",1
IPINTV,"Gak bisa masuk, update malah makin kacau",1
Alamsyah Mabaria,Mengecewakan Apknya suka GK bisa dibuka padahal jaringan bagus hp bagus,1
Didi Yogi,Bintang yang bicara,5
Gustian Fatraa Maulani,"ga bsa masuk loading trs mau tf ke org ga bsa muter"" aja dhl jaringan ok dan handphone pun memadai, ku kira karna blm di update tapi sama aja ternyata masih kya gt, gmn nih jdi susah buat urusn kerja, di sini jarang atm CMB mknnya pke octo",2
Saminsam460,Ko nga bisa masuk ya,3
Fikri Darmawan,ngelag bngt asu padahal jaringan bagus terus,1
Langgeng Langgeng,"Kok makin parah ya setelah update...masa aplikasi perbankan kok kek gini, perbankan woeeeyyy.... urusan duit,dah pasti dana gedeeee.... mbanking nya kok lemot gini...malu-maluin aja",1
mfadil ananta,Niaga ngeselin sumpah saya buru2 kerja mau isi gopay di banking nggak bisa di buka pelayanan banking keluar sendiri,1
Ripin Arip,"Aplikasi sering lag,,sekarang malah loading tidak selesai selesai,,sinyal bagus,hp juga bagus,,kenapa loading 1 jam tidak bisa masuk2,,jangan hanya ambil untung saja octo,makin ke sini makin burik pelayananny",1
Yoga Adhi Jaya,"Jaringan ku stabil, bisa di pake apa aja. Tapi buat octo LEMOT!!!",1
Cinta Tika,Ada apa dengan Cimb sih? Makin kesini aplikasi malah ga bisa di gunakan.. makij ga jelas aja..,1
Rudi antoni Janah,Ga bisa Login....,2
khoko dile,"Server down kah, parah bgt gak bisa login",1
deni away,Ini kenapa koq octo mobile bangking sering tidak bisa login.,2
Sirajudin Bima,"Ini kenapa sih apk Octo mobile klo mau logi susah benar nggak kaya kemaren2 padahal sinya super Bagus kecewa gue Ama apk Octo mobile ini,tolong dong pihak developer di perbaiki lagi apknya,ini saya mau lakukan transaksi dan lainnya jadi terganggu di karenakan login susah tampilannya putih semua padahal jaringan sangat2 lancar tolong di perbaiki lagi apknya,dan saya tunggu estimasinya sekian dan terima kasih",3
Dewata Dura,"Kok gak bisa digunakan ya? Padahal jaringan lancar masa loading terus, halaman awal, notifikasi gak keload",1
Dek aguss (dekagus),saya sangat suka dengan pelayanannya,5
